match_no,stage,source_type,group_label,matchday,home_team_id,away_team_id,home_team_fifa_code,away_team_fifa_code,home_team_name,away_team_name,home_seed,away_seed,kickoff_local,kickoff_timezone,kickoff_utc,stadium_id,venue,fifa_venue_name,city,country,status,home_score,away_score,winner_team_id,source_match_oid
73,round32,r32,,4,,,,,Runner-up Group A,Runner-up Group B,Runner-up Group A,Runner-up Group B,06/28/2026 12:00,America/Los_Angeles,2026-06-28T19:00:00.000Z,16,SoFi Stadium,Los Angeles Stadium,Los Angeles (Inglewood),United States,open,,,,679c9c8a5749c4077500e073
74,round32,r32,,4,,,,,Winner Group E,3rd Group A/B/C/D/F,Winner Group E,3rd Group A/B/C/D/F,06/29/2026 16:30,America/New_York,2026-06-29T20:30:00.000Z,9,Gillette Stadium,Boston Stadium,Boston (Foxborough),United States,open,,,,679c9c8a5749c4077500e074
75,round32,r32,,4,,,,,Winner Group F,Runner-up Group C,Winner Group F,Runner-up Group C,06/29/2026 19:00,America/Monterrey,2026-06-30T01:00:00.000Z,3,Estadio BBVA,Estadio Monterrey,Monterrey (Guadalupe),Mexico,open,,,,679c9c8a5749c4077500e075
76,round32,r32,,4,,,,,Winner Group C,Runner-up Group F,Winner Group C,Runner-up Group F,06/29/2026 12:00,America/Chicago,2026-06-29T17:00:00.000Z,5,NRG Stadium,Houston Stadium,Houston,United States,open,,,,679c9c8a5749c4077500e076
77,round32,r32,,4,,,,,Winner Group I,3rd Group C/D/F/G/H,Winner Group I,3rd Group C/D/F/G/H,06/30/2026 17:00,America/New_York,2026-06-30T21:00:00.000Z,11,MetLife Stadium,New York/New Jersey Stadium,New York/New Jersey (East Rutherford),United States,open,,,,679c9c8a5749c4077500e077
78,round32,r32,,4,,,,,Runner-up Group E,Runner-up Group I,Runner-up Group E,Runner-up Group I,06/30/2026 12:00,America/Chicago,2026-06-30T17:00:00.000Z,4,AT&T Stadium,Dallas Stadium,"Dallas (Arlington, Texas)",United States,open,,,,679c9c8a5749c4077500e078
79,round32,r32,,4,,,,,Winner Group A,3rd Group C/E/F/H/I,Winner Group A,3rd Group C/E/F/H/I,06/30/2026 19:00,America/Mexico_City,2026-07-01T01:00:00.000Z,1,Estadio Azteca,Mexico City Stadium,Mexico City,Mexico,open,,,,679c9c8a5749c4077500e079
80,round32,r32,,4,,,,,Winner Group L,3rd Group E/H/I/J/K,Winner Group L,3rd Group E/H/I/J/K,07/01/2026 12:00,America/New_York,2026-07-01T16:00:00.000Z,7,Mercedes-Benz Stadium,Atlanta Stadium,Atlanta,United States,open,,,,679c9c8a5749c4077500e07a
81,round32,r32,,4,,,,,Winner Group D,3rd Group B/E/F/I/J,Winner Group D,3rd Group B/E/F/I/J,07/01/2026 17:00,America/Los_Angeles,2026-07-02T00:00:00.000Z,15,Levi's Stadium,San Francisco Bay Area Stadium,San Francisco Bay Area (Santa Clara),United States,open,,,,679c9c8a5749c4077500e07b
82,round32,r32,,4,,,,,Winner Group G,3rd Group A/E/H/I/J,Winner Group G,3rd Group A/E/H/I/J,07/01/2026 13:00,America/Los_Angeles,2026-07-01T20:00:00.000Z,14,Lumen Field,Seattle Stadium,Seattle,United States,open,,,,679c9c8a5749c4077500e07c
